id,type,name,name_zh,name_en,latitude,longitude,elevation,prominence,wikipedia,wikidata,description
12468293047,summit_board,雙峰山,雙峰山,Shuangfengshan,24.44675,120.7920333,538,,,Q31597553,
12468292225,summit_board,雙峰山北峰,雙峰山北峰,Shuangfengshanbeifeng,24.4549879,120.7939681,450,,,,鑛務課基石296號
12468294306,summit_board,雙林山,雙林山,Shuanglinshan,23.5103965,120.7087773,1842.00,,,,
12468295280,summit_board,雙港子山,雙港子山,Shuanggangzishan,24.902621,121.461529,680,,,Q31619519,
12468295279,summit_board,雙港子山東峰,雙港子山東峰,Shuanggangzishandongfeng,24.90324,121.465699,570,,,,
12468292585,summit_board,雙溪口山,雙溪口山,Shuangxikoushan,25.0114478,121.6517706,213,,,,無基石
12468292584,summit_board,雙溪口東峰,雙溪口東峰,Shuangxikoudongfeng,25.0118077,121.6582408,,,,,無基石
12468293110,summit_board,雙溪山,雙溪山,Shuangxishan,25.1299149,121.5935744,439.00,,,,
12468293238,summit_board,雙溪山,雙溪山,Shuangxishan,24.8415491,121.4390272,728.00,,,,
12468293693,summit_board,雙溪山,雙溪山,Shuangxishan,24.7497917,120.9990957,127.33,,,Q31391953,
12804267027,summit_board,雙片掀山,,,23.2391161,120.4898631,738,,,,
12468293936,summit_board,雙頭北山,雙頭北山,Shuangtoubeishan,23.3656447,121.0261654,2811.09,,,Q31614917,
12468292950,summit_board,雙龍山,雙龍山,Shuanglongshan,23.7754,120.93325,1094,,,,
12468292270,summit_board,雞冠山,雞冠山,Jiguanshan,25.0176678,121.6836063,448,,,Q31622644,
13319324597,summit_board,雞冠山,雞冠山,Jiguanshan,25.0175858,121.6836262,448,,,Q31622644,
12468294472,summit_board,雞子山,雞子山,Jizishan,23.4008888,120.7951149,2398.15,,,Q31621537,
12468291798,summit_board,雞寮坑山,雞寮坑山,Jiliaokengshan,24.7649014,121.1419479,468,,,,
12468293235,summit_board,雞心尖,雞心尖,Jixinjian,24.9443361,121.5891399,518,,,,無列名基石
12468293774,summit_board,雞母嶺,雞母嶺,Jimuling,25.0818472,121.8957333,293.88,,,,
12804350178,summit_board,雞籠山,,,23.3191355,120.5187891,878,,,,
12468295083,summit_board,雞罩山,雞罩山,Jizhaoshan,24.8881844,121.4106203,780,,,Q31606085,
12468295082,summit_board,雞罩山前峰,雞罩山前峰,Jizhaoshanqianfeng,24.889068,121.4103024,770,,,,
12805988393,summit_board,雞胸山,,,23.3254873,120.5256628,841,,,,
12468294648,summit_board,雞鳴山,雞鳴山,Jimingshan,24.2712852,121.4953214,1535.67,,,Q31605505,
12468292334,summit_board,難山,難山,Nanshan,23.2028885,120.5799025,1034,,,Q31609691,
12468294585,summit_board,雨山,雨山,Yushan,22.6738873,120.8411631,1727.45,,,Q31613700,
12468295117,summit_board,雨社山,雨社山,Yusheshan,23.8016799,120.8901609,964,,,Q15920524,
12468295331,summit_board,雪山主峰,雪山主峰,Xueshan Main Peak,24.3834046,121.2317798,3886,,zh:雪山 (台灣),Q707720,
12468295210,summit_board,雪山北峰,雪山北峰,Xueshan North Peak,24.4147359,121.2404652,3703,,,Q31607315,
12468292803,summit_board,雪山南峰,雪山南峰,South Peak of Xue Mountain,24.3722698,121.2372673,3505,,,Q31607583,
12468294634,summit_board,雪山坑山,雪山坑山,Xueshankengshan,24.3392418,120.956897,1360.21,,,Q31602816,
12468294383,summit_board,雪山坑山北峰,雪山坑山北峰,Xueshankengshanbeifeng,24.3504109,120.955039,1150.00,,,,
12468291933,summit_board,雪山東峰,雪山東峰,Snow Mountain East Peak,24.3886957,121.2720841,3201,,,,
12468292802,summit_board,雪山西南峰,雪山西南峰,Snow Mountain Southwest Peak,24.3572149,121.2054615,3471,,,Q31607445,
12468292801,summit_board,雪山西峰,雪山西峰,Snow Mountain West Peak,24.3965538,121.1955687,3265,,,Q31607520,
12468292032,summit_board,雪白山,雪白山,Xuebaishan,24.594081,121.37259,2443,,,Q31596750,
12468294623,summit_board,雪關山(大矢夫山),雪關山,Xueguanshan,24.2772611,121.210216,1977.15,,,,
12468292594,summit_board,雪霧鬧山,雪霧鬧山,Xuewunaoshan,24.7455442,121.3645779,,,,,
12468292060,summit_board,雲峰,雲峰,Yunfeng,23.3537487,120.9757537,3563.76,,,Q16929439,
